type_group_id,item_type_id,item_id,txn_id,invoice_num,memo,exported,charge_total,sub_total,tax_total,txn_date,revenue_date,from,discount_p,discount,total_discount,qb_id,status,qb_sequence,txn_line_group_id,txn_line_discount_id,tax_exempt_number,charge_carry_over,dues_days,txn_item_id,quantity,base_amount,final_total,note,txn_line_id,name,name_fr,sku,notes,base_price,tax_id,owner_name,owner_id,activity_value,image1,image2,image3,image4,image5,track_inventory,shippable,shipping_x,shipping_y,shipping_z,shipping_w,type,qb_account_name,qb_ClassRef_id,access,accttaxgroup_id,description,image,use,slug,meta_title,meta_description,qb_acct_name,retail_price,sale_price,activity_points,template,is_multiple,full_description,hide_product,archived,is_product
2,3,3,1,30001,,0,375.0000,375.00000000,0.00000000,2016-05-05,"2016-05-05 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,1,1,375.00000000,375.00000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
2,3,3,2,30002,,0,375.0000,375.00000000,0.00000000,2016-05-05,"2016-05-05 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,2,1,375.00000000,375.00000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
2,3,3,3,30003,,0,375.0000,375.00000000,0.00000000,2016-05-05,"2016-05-05 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,3,1,375.00000000,375.00000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
2,3,3,4,30004,,0,375.0000,375.00000000,0.00000000,2016-05-05,"2016-05-05 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,4,1,375.00000000,375.00000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
2,3,3,5,30005,,0,375.0000,375.00000000,0.00000000,2016-05-25,"2016-05-25 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,5,1,375.00000000,375.00000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
2,3,3,6,30006,,0,375.0000,375.00000000,0.00000000,2016-06-23,"2016-06-23 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,6,1,375.00000000,375.00000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
2,3,3,8,30008,,0,375.0000,375.00000000,0.00000000,2016-06-23,"2016-06-23 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,8,1,375.00000000,375.00000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
1,2,2,9,30009,,0,681.2500,250.00000000,0.00000000,2016-06-27,"0000-00-00 00:00:00",SYSTEM,,0.00000000,0.0000,,active,,,,,0.0000,,9,1,250.00000000,250.00000000,,,Memberships,,,"Regular membership conference registration fee.",450.00,7,,0,-1,,,,,,0,0,0,0,0,0.00,service,"Regular Membership Registration",,,0,"Regular membership conference registration fee.",,item,,,,"Regular Membership Registration",450,,-1,0,1,,0,0,0
2,3,3,9,30009,,0,681.2500,375.00000000,56.25000000,2016-06-27,"0000-00-00 00:00:00",SYSTEM,,0.00000000,0.0000,,active,,,,,0.0000,,10,1,375.00000000,431.25000000,,,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
2,3,3,10,30010,"John Smith
Jane Doe
Jesse McMinn
Spider Man
Louis Lane",0,375.0000,375.00000000,0.00000000,2016-07-13,"2016-07-13 00:00:00",,,0.00000000,0.0000,,active,,,,,0.0000,,11,1,375.00000000,375.00000000,"John Smith Jane Doe Jesse McMinn Spider Man Louis Lane John Smith Jane Doe Jesse McMinn Spider Man Louis Lane John Smith Jane Doe Jesse McMinn Spider Man Louis Lane John Smith Jane Doe Jesse McMinn Spider Man Louis Lane",,"Conference Registrations",,,"Early Bird conference pass.",575.00,0,,0,5,,,,,,0,0,0,0,0,0.00,service,"Conference 2016",,,0,"Early Bird conference pass.",,item,,,,"Conference 2016",575.00,,5,0,0,,0,0,0
